,Model,Accuracy,Precision,Recall,F1,AUC
0,Logistic Regression,0.8536585365853658,0.8316831683168316,0.9882352941176471,0.9032258064516129,0.8055727554179567
4,Neural Network,0.8455284552845529,0.84375,0.9529411764705882,0.8950276243093923,0.8061919504643963
1,Random Forest,0.8211382113821138,0.8387096774193549,0.9176470588235294,0.8764044943820225,0.8102167182662539
2,KNN,0.7967479674796748,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.7800309597523221
3,Decision Tree,0.7560975609756098,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.7143962848297213
